Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
service_registry, /, TP, /, TP, FN, /, /
config_server, /, TP, /, TP, FN, /, /
github_repository, /, TP, /, FN, FN, /, /
zipkin_server, /, TP, /, FN, FN, /, /
department_service, /, TP, /, TP, TP, /, /
user_service, /, TP, /, TP, TP, /, /
hystrix_dashboard, /, TP, /, TP, FN, /, /
api_gateway, /, TP, /, TP, FN, /, /
user, /, TP, /, FN, FN, /, /
github_repository -> config_server, /, TP, /, FN, FN, FN, FN
config_server -> service_registry, /, TP, /, FN, FN, FN, FN
department_service -> zipkin_server, /, FN, /, FN, FN, FN, FN
config_server -> department_service, /, TP, /, FN, FN, FN, FN
department_service -> service_registry, /, TP, /, FN, FN, FN, FN
user_service -> zipkin_server, /, FN, /, FN, FN, FN, FN
config_server -> user_service, /, TP, /, FN, FN, FN, FN
user_service -> service_registry, /, TP, /, FN, FN, FN, FN
user_service -> department_service, /, FN, /, FN, TP, FN, TP
config_server -> hystrix_dashboard, /, TP, /, FN, FN, FN, FN
hystrix_dashboard -> service_registry, /, TP, /, FN, FN, FN, FN
api_gateway -> user, /, TP, /, FN, FN, FN, FN
user -> api_gateway, /, TP, /, FN, FN, FN, FN
service_registry -> api_gateway, /, TP, /, FN, FN, FN, FN
config_server -> api_gateway, /, TP, /, FN, FN, FN, FN
api_gateway -> user_service, /, TP, /, FN, FN, FN, FN
api_gateway -> department_service, /, TP, /, FN, FN, FN, FN
zipkin_server -> hystrix_dashboard, /, FN, /, FN, FN, FN, FN
