Groundtruth, attack-graph-generator, code2DFD, Contextmap, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
discovery_server, /, TP, /, /, /, /, /, /
gateway_server, /, TP, /, /, /, /, /, /
database_gateway_server, /, TP, /, /, /, /, /, /
user, /, TP, /, /, /, /, /, /
auth_server, /, TP, /, /, /, /, /, /
database_auth_server, /, TP, /, /, /, /, /, /
account_service, /, TP, /, /, /, /, /, /
customer_service, /, TP, /, /, /, /, /, /
discovery_server -> gateway_server, /, TP, /, /, /, /, /, /
database_gateway_server -> gateway_server, /, TP, /, /, /, /, /, /
user -> gateway_server, /, TP, /, /, /, /, /, /
gateway_server -> user, /, TP, /, /, /, /, /, /
auth_server -> discovery_server, /, TP, /, /, /, /, /, /
database_auth_server -> auth_server, /, TP, /, /, /, /, /, /
gateway_server -> auth_server, /, TP, /, /, /, /, /, /
account_service -> discovery_server, /, TP, /, /, /, /, /, /
auth_server -> account_service, /, TP, /, /, /, /, /, /
gateway_server -> account_service, /, TP, /, /, /, /, /, /
customer_service -> discovery_server, /, TP, /, /, /, /, /, /
customer_service -> account_service, /, FN, /, /, /, /, /, /
auth_server -> customer_service, /, TP, /, /, /, /, /, /
