Groundtruth, attack-graph-generator, code2DFD, Contextmap, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
configserver, TP, TP, /, TP, /, /, /, /
github_repository, FN, TP, /, FN, /, /, /, /
webservice_registry, TP, TP, /, TP, /, /, /, /
auth_server, TP, TP, /, TP, /, /, /, /
database_auth_server, FN, TP, /, FN, /, /, /, /
web_portal, TP, TP, /, TP, /, /, /, /
user_webservice, TP, TP, /, TP, /, /, /, /
comments_webservice, TP, TP, /, TP, /, /, /, /
task_webservice, TP, TP, /, TP, /, /, /, /
api_gateway, TP, TP, /, TP, /, /, /, /
user, TP, TP, /, FN, /, /, /, /
github_repository -> configserver, FN, TP, /, FN, /, /, /, /
configserver -> webservice_registry, TP, TP, /, TP, /, /, /, /
database_auth_server -> auth_server, TP, TP, /, FN, /, /, /, /
configserver -> auth_server, TP, TP, /, TP, /, /, /, /
auth_server -> webservice_registry, TP, TP, /, FN, /, /, /, /
configserver -> web_portal, TP, TP, /, TP, /, /, /, /
web_portal -> webservice_registry, TP, TP, /, TP, /, /, /, /
configserver -> user_webservice, TP, TP, /, TP, /, /, /, /
user_webservice -> webservice_registry, TP, TP, /, TP, /, /, /, /
auth_server -> user_webservice, TP, FN, /, TP, /, /, /, /
configserver -> comments_webservice, TP, TP, /, TP, /, /, /, /
comments_webservice -> webservice_registry, TP, TP, /, TP, /, /, /, /
auth_server -> comments_webservice, TP, FN, /, TP, /, /, /, /
task_webservice -> webservice_registry, TP, TP, /, TP, /, /, /, /
auth_server -> task_webservice, TP, FN, /, TP, /, /, /, /
configserver -> task_webservice, TP, TP, /, TP, /, /, /, /
task_webservice -> comments_webservice, TP, TP, /, FN, /, /, /, /
user -> api_gateway, FN, TP, /, FN, /, /, /, /
api_gateway -> user, FN, TP, /, FN, /, /, /, /
api_gateway -> auth_server, TP, FN, /, TP, /, /, /, /
database_auth_server -> api_gateway, FN, FN, /, FN, /, /, /, /
api_gateway -> user_webservice, TP, FN, /, FN, /, /, /, /
api_gateway -> task_webservice, TP, FN, /, FN, /, /, /, /
api_gateway -> web_portal, TP, FN, /, FN, /, /, /, /
configserver -> api_gateway, TP, TP, /, TP, /, /, /, /
webservice_registry -> api_gateway, TP, TP, /, TP, /, /, /, /
