Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
discovery_server, /, TP, /, /, FN, /, /
gateway_server, /, TP, /, /, FN, /, /
database_gateway_server, /, TP, /, /, FN, /, /
user, /, TP, /, /, FN, /, /
auth_server, /, TP, /, /, FN, /, /
database_auth_server, /, TP, /, /, FN, /, /
account_service, /, TP, /, /, FN, /, /
customer_service, /, TP, /, /, FN, /, /
discovery_server -> gateway_server, /, TP, /, /, FN, FN, FN
database_gateway_server -> gateway_server, /, TP, /, /, FN, FN, FN
user -> gateway_server, /, TP, /, /, FN, FN, FN
gateway_server -> user, /, TP, /, /, FN, FN, FN
auth_server -> discovery_server, /, TP, /, /, FN, FN, FN
database_auth_server -> auth_server, /, TP, /, /, FN, FN, FN
gateway_server -> auth_server, /, TP, /, /, FN, FN, FN
account_service -> discovery_server, /, TP, /, /, FN, FN, FN
auth_server -> account_service, /, TP, /, /, FN, FN, FN
gateway_server -> account_service, /, TP, /, /, FN, FN, FN
customer_service -> discovery_server, /, TP, /, /, FN, FN, FN
customer_service -> account_service, /, FN, /, /, FN, FN, FN
auth_server -> customer_service, /, TP, /, /, FN, FN, FN
